Entity,Code,Year,LE_0,LE_10,LE_15,LE_25,LE_45,LE_65,LE_80,GDP_pc,log_GDP_pc,GDP_growth,LE_0_change,LE_mean,GDP_pc_z,LE_0_z,GDP_pc_norm,LE_0_norm,Decade,Income_group,residual
North Korea,PRK,2020,72.7826,64.3297,59.5211,50.2722,32.0411,15.5079,6.5114,1584.3771,7.367946612222457,-0.049457939015762,-0.1456000000000017,42.99514285714285,-0.8152106746587983,1.073443412447872,0.046000522354984,0.8718784962047788,2020,Low income,10.302330949551447
Cuba,CUB,2020,77.4075,67.9294,62.9847,53.2586,34.2032,17.6036,8.5206,7364.1055,8.90437286870336,-0.1082226650366896,-0.0058000000000077,45.9868,0.135332175946242,1.4561381195725571,0.2663114123089023,0.9374586127343032,2020,Lower-middle,7.457096199595483
Palestine,PSE,2020,74.9978,66.2398,61.3088,51.5821,32.3773,15.4043,6.5017,4490.755,8.409776118048091,-0.1325530649677094,-0.8136000000000081,44.05882857142857,-0.337223381345588,1.2567436600689237,0.1567854342708104,0.9032895697709536,2020,Lower-middle,7.452135352353608
Costa Rica,CRI,2020,79.7252,70.4294,65.4969,55.9411,37.2321,19.9757,9.3181,13996.39,9.54655471820367,-0.0527165216091837,-0.5711000000000013,48.302642857142864,1.2260876887232133,1.6479198927358438,0.5191199180896545,0.9703231149031024,2020,Upper-middle,6.652495386583524
Syria,SYR,2020,71.944,63.7254,58.842,49.4753,30.8927,14.5704,6.1084,2903.7397,7.973754736941006,-0.1422806073764808,0.9739000000000004,42.2226,-0.598226311382199,1.0040521215237956,0.0962918039622505,0.8599873232666269,2020,Low income,6.518279903543544
Greece,GRC,2020,81.5361,71.8686,66.8915,57.0712,37.7339,20.1544,9.6284,21767.22,9.988160447406532,-0.0880850956688229,0.1874000000000109,49.26915714285714,2.504090111772568,1.797765693754697,0.8153273441999552,0.996001298868878,2020,High income,6.316299624855418
Albania,ALB,2020,77.8241,68.5999,63.6539,53.8159,34.6106,17.3344,7.955,11372.541,9.338957044625614,-0.0292579614004141,-1.642799999999994,46.25625714285714,0.7945655244607569,1.4906103492398246,0.419104403814849,0.9433659137670176,2020,Upper-middle,5.760739368348993
Vietnam,VNM,2020,75.3832,67.2798,62.4849,53.2767,34.955,18.1229,8.5638,7395.3613,8.908608231287458,0.0177968814217763,1.171900000000008,45.723757142857146,0.1404725519594022,1.2886341961077257,0.2675028165821934,0.9087544613168204,2020,Lower-middle,5.4122037832106
Portugal,PRT,2020,81.3664,71.6354,66.6616,56.8417,37.5308,20.0946,9.0624,25700.283,10.154257282495834,-0.0312741589837251,-0.2941000000000002,49.02755714285716,3.150927585247828,1.7837235973203829,0.9652472971470224,0.9935949882945824,2020,High income,5.33903353801945
Cape Verde,CPV,2020,73.8177,64.9421,60.0922,50.4327,31.754,15.612,6.1805,5831.9985,8.671115016486814,-0.2007982344872013,-1.630899999999997,43.2616,-0.1166404522506013,1.159094408435842,0.2079107690062468,0.8865559981225956,2020,Lower-middle,5.001400475796771
