Entity,Code,Year,LE_0,LE_10,LE_15,LE_25,LE_45,LE_65,LE_80,GDP_pc,log_GDP_pc,GDP_growth,LE_0_change,LE_mean,GDP_pc_z,LE_0_z,GDP_pc_norm,LE_0_norm,Decade,Income_group,residual
Nigeria,NGA,2020,53.0724,51.6976,47.6692,40.0038,25.0287,11.6226,5.0286,4976.3223,8.512446403221793,-0.0424777170652959,0.0638000000000005,33.446128571428574,-0.2573662507747826,-0.5575084386989584,0.1752942216379679,0.5923919748053469,2020,Lower-middle,-14.972449598325781
Equatorial Guinea,GNQ,2020,62.1408,57.8396,53.1642,44.1857,26.96,12.6072,5.4726,23300.297,10.056221386253668,-0.0682244182875223,-0.155700000000003,37.48144285714285,2.7562222676325248,0.1928707440054237,0.8737649618288186,0.7209799937325322,2020,High income,-13.409914001654158
Eswatini,SWZ,2020,59.8618,53.5912,48.8404,39.931,24.4414,12.7383,6.3091,8167.6895,9.00794134492018,-0.0248030965827886,0.0121999999999999,35.101885714285714,0.267490812684363,0.0042912639005226,0.2969423163826525,0.688664249484919,2020,Upper-middle,-10.592155773643569
Lesotho,LSO,2020,55.1325,50.0065,45.3145,36.7989,23.1387,12.5113,6.4451,2297.383,7.739525928014735,-0.0862458418588254,-0.1167999999999978,32.76392857142857,-0.697948648871529,-0.3870421872886438,0.0731787829063612,0.6216037627494048,2020,Low income,-9.154395009589898
Chad,TCD,2020,53.0818,51.429,47.4079,39.7559,24.8144,11.5178,4.988,1463.5312,7.288607424661105,-0.0519960805877486,0.0891000000000019,33.28497142857143,-0.8350851736525452,-0.5567306207467926,0.0413941350070453,0.5925252648430509,2020,Low income,-9.012720356337582
Central African Republic,CAF,2020,50.5959,48.4172,43.9895,36.3109,22.4061,10.9858,5.384,613.78937,6.419651823690934,-0.0156687939151947,19.0657,31.15562857142857,-0.9748349967353296,-0.7624303704584092,0.0090037931358994,0.5572757217868238,2020,Low income,-7.27374109279004
South Africa,ZAF,2020,65.1502,57.2414,52.3948,43.2748,27.0798,14.0929,7.8488,10839.133,9.290918290245129,-0.0767298050006405,-0.9209000000000032,38.15467142857143,0.7068404402067057,0.4418883339254281,0.3987720312437539,0.7636526575055761,2020,Upper-middle,-6.679595260759598
Gabon,GAB,2020,67.0725,60.1985,55.4004,46.1383,28.5185,13.8476,6.3006,15745.749,9.664325703061028,-0.0427950271478867,-0.2643999999999948,39.63948571428572,1.5137899085354078,0.6009521051433541,0.5858017431627663,0.7909104702160574,2020,High income,-6.572809463671078
Cote d'Ivoire,CIV,2020,60.1397,55.2873,50.5957,41.7178,25.292,12.3399,5.8696,3682.1353,8.211248107451407,-0.005658062207332,-0.1343999999999994,35.891714285714286,-0.4702101969013835,0.0272865414438097,0.1259625800790338,0.6926048134719359,2020,Lower-middle,-6.440717546106534
Namibia,NAM,2020,64.0712,57.008,52.2207,43.1282,26.682,13.7754,6.8757,7734.6055,8.953459759767286,-0.0972464554173986,0.5249000000000024,37.68017142857143,0.1962651647955394,0.3526047626076627,0.2804340802058794,0.7483526627520989,2020,Lower-middle,-6.11786523251503
